1,14,0
2,29,0
3,43,1
4,69,1
5,94,2
6,149,3
7,232,3
8,296,5
9,399,8
10,436,8
11,557,10
12,627,18
13,787,18
14,887,22
15,924,25
16,1151,30
17,1297,33
18,1898,56
19,2443,70
20,2959,84
21,3488,97
22,4189,116
23,4678,134
24,5251,158
25,5816,176
26,6625,225
27,7500,247
28,8346,286
29,9105,329
30,10353,356
31,11387,391
32,12270,420
33,13330,446
34,14252,484
35,16265,519
36,17615,559
